StartDate,EndDate,Progress,ResponseId,consent,favor_use,preprint_cred1_1,preprint_cred1_2,preprint_cred1_3,preprint_cred1_4,preprint_cred1_5,preprint_cred2_1,preprint_cred2_2,preprint_cred2_3,preprint_cred2_4,preprint_cred3_1,preprint_cred3_2,preprint_cred3_3,preprint_cred4_1,preprint_cred4_2,preprint_cred4_3,preprint_cred4_4,preprint_cred5_1,preprint_cred5_2,preprint_cred5_3,services_cred1_1,services_cred1_2,services_cred1_3,services_cred1_4,service_cred2_1,service_cred2_2,service_cred2_3,service_cred2_4,service_cred3_1,service_cred3_2,service_cred3_3,service_cred3_4,service_cred3_5,service_credible4_1,service_credible4_2,service_credible4_3,service_credible4_4,service_credible4_5,position_7_TEXT,age,discipline_specific,discipline_other,how_heard,familiar,preprints_submitted,preprints_used,position,discipline,country,continent,HDI_2017,hdi_level,bepress_tier3,bepress_tier2,bepress_tier1,discipline_collapsed,acad_career_stage
3/26/19 16:19,3/26/19 16:23,100,R_1NmJqtbZQxyqqGs,1,3,2,2,3,5,4,4,2,3,3,2,3,3,4,5,4,5,4,4,5,2,1,2,2,0,1,1,2,1,2,1,2,3,2,-1,-1,1,2,NA,32,Cognitive Neuroscience,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Assistant Professor, or equivalent",Psychology,United States of America,North America,0.924,very high,Cognitive Psychology,Psychology,Social and Behavioral Sciences,Psychology,Assist Prof
3/26/19 16:25,3/26/19 16:31,100,R_u9Q7l1ZjSDiZyal,1,2,1,2,2,4,4,3,4,2,2,1,3,2,4,4,4,3,3,4,3,1,2,3,2,3,3,2,2,2,3,1,2,1,0,3,1,-2,2,NA,31,Cognitive psychology,NA,Twitter,Moderately familiar,No,"Yes, a few times",Graduate Student,Psychology,Chile,South America,0.8430000000000001,very high,Cognitive Psychology,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 16:30,3/26/19 16:35,100,R_3QYTnQ783XY9sFX,1,3,5,3,2,2,2,3,2,3,3,2,3,2,1,1,1,2,1,2,2,2,2,1,0,0,0,3,3,2,1,0,3,3,2,-3,1,-1,2,NA,59,molecular biology,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Professor, or equivalent",Biology,United States of America,North America,0.924,very high,Molecular Biology,"Biochemistry, Biophysics, and Structural Biology",Life Sciences,Life Sciences (Biology),Full Prof
3/26/19 16:30,3/26/19 16:37,100,R_2DOoAn6ZQ49s4pT,1,3,3,2,3,4,3,3,1,3,2,3,3,3,5,5,5,5,5,5,5,3,3,3,3,2,2,3,3,2,3,2,3,3,3,-2,-3,3,3,NA,42,cell biology,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Professor, or equivalent",Biology,United Kingdom of Great Britain and Northern Ireland,Europe,0.922,very high,Cell Biology,Cell and Developmental Biology,Life Sciences,Life Sciences (Biology),Full Prof
3/26/19 16:36,3/26/19 16:40,100,R_242k0HHrux8II62,1,2,3,2,3,3,4,3,4,2,2,4,3,2,5,5,5,4,4,3,4,1,0,1,1,0,1,1,1,1,2,0,0,1,0,1,-1,-1,1,NA,32,NA,NA,NA,Extremely familiar,"Yes, many times","Yes, many times",Post doc,Statistics,United States of America,North America,0.924,very high,NA,Statistics and Probability,Physical Sciences and Mathematics,Physical Sciences and Mathematics,Post doc
3/26/19 16:52,3/26/19 16:57,100,R_2ruNXRt1oqfG2fw,1,2,4,3,3,4,4,2,1,3,3,3,3,4,4,4,5,5,5,5,4,2,2,3,2,2,1,2,2,2,1,1,2,2,2,1,-2,0,2,NA,32,Social Psychology,NA,twitter,Very familiar,No,"Yes, many times",Post doc,Psychology,United States of America,North America,0.924,very high,Social Psychology,Psychology,Social and Behavioral Sciences,Psychology,Post doc
3/26/19 15:57,3/26/19 17:16,100,R_2rlkBeje3nBbiRf,1,3,3,3,3,3,3,3,4,4,5,3,4,1,5,5,5,5,5,5,5,3,2,3,3,2,3,3,3,2,1,1,3,2,3,0,2,-1,3,NA,38,Neuroscience,NA,Linkedin,Extremely familiar,"Yes, once","Yes, a few times","Research Scientist/Staff Scientist, or equivalent",Biology,United States of America,North America,0.924,very high,NA,Neuroscience and Neurobiology,Life Sciences,Life Sciences (Biology),NA
3/26/19 17:11,3/26/19 17:17,100,R_3MyyIVGab2Vzmna,1,-2,3,4,4,5,5,5,3,3,1,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,1,-3,3,-1,1,NA,31,NA,Exercise Physiology/Sports Medicine,twitter,Not familiar at all,No,No,Graduate Student,Other,Spain,Europe,0.891,very high,Sports Medicine,Medical Sciences,Medicine and Health Sciences,Medicine and Health Sciences,Grad Student
3/26/19 17:17,3/26/19 17:20,100,R_3noLJgDe0GW21gb,1,3,4,4,2,2,2,3,1,2,2,3,3,3,3,3,3,4,3,4,3,0,2,3,1,0,1,1,2,1,0,0,1,2,0,-1,1,-2,2,NA,32,Labor economics,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Assistant Professor, or equivalent",Economics,United States of America,North America,0.924,very high,Labor Economics,Economics,Social and Behavioral Sciences,Other Social Sciences,Assist Prof
3/26/19 17:13,3/26/19 17:32,100,R_DGIlqV0m8Gan42J,1,3,3,4,4,4,3,3,4,2,3,2,2,2,3,2,3,1,1,2,2,3,3,3,1,2,3,3,3,0,3,0,3,2,2,0,-2,2,3,NA,44,astrophysics,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Research Scientist/Staff Scientist, or equivalent",Physics,Germany,Europe,0.936,very high,NA,Astrophysics and Astronomy,Physical Sciences and Mathematics,Physical Sciences and Mathematics,NA
3/26/19 17:27,3/26/19 17:34,100,R_Cf3z74QdyuFXU2d,1,3,5,1,1,1,1,1,1,1,5,1,1,1,5,5,5,5,1,5,5,3,3,3,3,3,3,3,3,0,3,0,3,3,3,-3,3,-3,3,NA,NA,NA,NA,NA,Moderately familiar,"Yes, many times","Yes, many times","Research Scientist/Staff Scientist, or equivalent",Other,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/26/19 17:23,3/26/19 17:34,100,R_Uu2c6BOEE0DaMHn,1,3,1,1,1,3,3,3,3,5,4,2,3,1,4,5,5,5,2,4,4,3,2,3,3,2,3,3,2,2,3,-1,3,1,3,0,0,0,2,NA,30,Ecology metaresearch,NA,Twitter,Very familiar,"Yes, a few times","Yes, many times",Post doc,Ecology/Evolutionary Science,Australia,Oceania,0.9390000000000001,very high,NA,Ecology and Evolutionary Biology,Life Sciences,Life Sciences (Biology),Post doc
3/26/19 17:19,3/26/19 17:38,100,R_CfuOvvSH6iwOKHf,1,2,2,4,3,5,4,4,2,2,3,3,4,2,3,3,3,4,3,3,3,1,1,2,3,1,3,3,1,2,2,2,2,1,2,-2,-1,1,2,NA,38,NA,Medicine,Twitter,Very familiar,No,"Yes, a few times","Professor, or equivalent",Other,Brazil,South America,0.759,high,NA,NA,Medicine and Health Sciences,Medicine and Health Sciences,Full Prof
3/26/19 17:34,3/26/19 17:42,100,R_SBgr26jQ6K2lcoF,1,3,3,4,2,5,3,3,3,2,3,2,2,2,3,4,3,4,4,4,4,2,3,3,0,3,3,3,3,1,3,1,2,2,1,-1,0,0,1,NA,29,Clinical Psychology and Neuroscience,NA,Twitter post,Very familiar,"Yes, once","Yes, many times",Post doc,Psychology,United States of America,North America,0.924,very high,Clinical Psychology,Psychology,Social and Behavioral Sciences,Psychology,Post doc
3/26/19 17:29,3/26/19 17:45,100,R_DqnS3ayQF8ZllHX,1,2,3,2,1,5,4,4,5,4,2,2,4,3,3,3,3,4,4,4,4,2,2,3,3,3,3,3,3,3,3,3,2,2,0,-3,0,2,2,Fellow,29,NA,Psychiatry,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Other, please specify",Other,Ireland,Europe,0.9380000000000001,very high,Psychiatry,Medical Specialties,Medicine and Health Sciences,Medicine and Health Sciences,NA
3/26/19 16:26,3/26/19 17:51,100,R_Re2zCk8qDDn60Gl,1,-2,3,4,4,4,4,5,5,2,2,3,3,2,4,4,5,3,3,4,5,3,0,2,3,2,3,3,0,0,3,1,3,1,2,-1,-1,1,3,"Corporate researcher, ex-journalist",38,NA,I study miscellaneous academic research in different fields for business intelligence,Twitter,Moderately familiar,No,"Yes, a few times","Other, please specify",Other,Sweden,Europe,0.933,very high,NA,NA,Business,Other,NA
3/26/19 17:48,3/26/19 17:53,100,R_2R2hFmmCn8hqzLM,1,-1,4,5,5,5,3,4,4,2,5,2,4,3,3,3,3,3,2,3,2,3,3,3,1,1,3,3,3,2,2,2,3,3,1,0,-2,2,1,NA,23,Industrial organizational psychology,NA,Twitter,Moderately familiar,No,"Yes, a few times",Graduate Student,Psychology,United States of America,North America,0.924,very high,Industrial and Organizational Psychology,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 17:47,3/26/19 17:55,100,R_29trae3JDYN3BhM,1,3,2,1,2,4,2,4,2,2,2,2,3,3,3,3,3,4,3,3,4,2,2,2,2,1,2,2,3,1,2,1,3,3,1,-1,0,0,1,NA,47,Developmental psychology,NA,Twitter,Moderately familiar,No,No,"Associate Professor, or equivalent",Psychology,United States of America,North America,0.924,very high,Developmental Psychology,Psychology,Social and Behavioral Sciences,Psychology,Assoc Prof
3/26/19 17:54,3/26/19 18:02,100,R_3s1yciEOersA6XB,1,3,1,1,3,5,5,4,1,1,1,4,5,3,5,5,5,5,5,5,5,3,3,3,3,3,0,0,0,0,2,3,3,3,3,-2,-2,-1,3,NA,55,neuroscience,NA,email,Extremely familiar,Not sure,"Yes, once","Associate Professor, or equivalent",Biology,New Zealand,Oceania,0.917,very high,NA,Neuroscience and Neurobiology,Life Sciences,Life Sciences (Biology),Assoc Prof
3/26/19 17:39,3/26/19 18:03,100,R_XweUFSBr6CgDi8x,1,3,1,3,4,4,3,4,2,3,4,3,3,2,3,3,3,3,4,4,4,2,3,2,2,0,3,3,3,3,3,2,3,2,2,0,0,2,3,NA,49,social studies of science,NA,twitter,Extremely familiar,"Yes, a few times","Yes, many times","Research Scientist/Staff Scientist, or equivalent",Sociology,France,Europe,0.901,very high,NA,Sociology,Social and Behavioral Sciences,Other Social Sciences,NA
3/26/19 17:54,3/26/19 18:05,100,R_2bVuxC1DQTRysP0,1,1,3,4,4,5,1,2,1,4,4,1,5,1,1,1,4,4,3,4,4,2,2,2,2,0,2,0,0,0,0,0,1,3,1,-3,0,-2,2,NA,28,Social psychology,NA,Twitter,Very familiar,No,"Yes, a few times",Graduate Student,Psychology,Australia,Oceania,0.9390000000000001,very high,Social Psychology,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 18:20,3/26/19 18:24,100,R_3k5nQ2LkUFaV7Ml,1,0,2,4,1,5,1,4,4,1,3,1,1,3,1,1,1,1,1,1,2,3,2,3,0,0,0,0,3,0,3,1,3,3,3,-2,-1,0,1,NA,34,Educational Psychology,NA,Twitter,Very familiar,"Yes, once","Yes, a few times","Assistant Professor, or equivalent",Psychology,United States of America,North America,0.924,very high,Other Psychology,Psychology,Social and Behavioral Sciences,Psychology,Assist Prof
3/26/19 18:23,3/26/19 18:28,100,R_2aawi1ppgCdIFTh,1,3,3,3,1,5,3,5,4,1,3,1,3,1,5,5,5,5,5,5,5,0,0,3,3,3,3,3,3,2,2,0,0,0,2,2,-3,1,2,NA,33,Clinical Neuropsychology,NA,NA,Very familiar,"Yes, a few times","Yes, many times","Associate Professor, or equivalent",Psychology,Australia,Oceania,0.9390000000000001,very high,Clinical Psychology,Psychology,Social and Behavioral Sciences,Psychology,Assoc Prof
3/26/19 18:21,3/26/19 18:30,100,R_1q2lKKQTd8HWoqZ,1,2,3,3,4,4,4,4,2,4,3,4,4,2,4,4,4,4,4,2,2,2,1,2,1,3,3,3,3,2,2,1,3,1,0,-1,0,-1,3,NA,34,Applied cognitive psych,NA,Twitter,Moderately familiar,No,"Yes, once",Graduate Student,Psychology,United States of America,North America,0.924,very high,NA,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 18:26,3/26/19 18:32,100,R_1GuXY6v6V0RcvKB,1,3,3,3,1,4,2,4,3,3,2,1,1,1,4,4,3,5,4,3,3,1,0,2,1,3,3,3,3,2,3,0,3,1,3,0,1,1,3,NA,26,Cognitive Psychology,NA,Twitter,Extremely familiar,No,"Yes, many times",Graduate Student,Psychology,United States of America,North America,0.924,very high,Cognitive Psychology,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 18:36,3/26/19 18:41,100,R_1mP3mFZcEI1NaXE,1,3,4,3,4,4,4,3,4,2,4,2,3,1,4,4,4,4,4,4,4,3,2,3,2,2,3,3,3,1,2,-1,3,1,2,-2,2,0,3,NA,43,biochemistry,NA,twitter,Extremely familiar,No,"Yes, many times","Research Scientist/Staff Scientist, or equivalent",Biology,United States of America,North America,0.924,very high,Biochemistry,"Biochemistry, Biophysics, and Structural Biology",Life Sciences,Life Sciences (Biology),NA
3/26/19 18:40,3/26/19 18:54,100,R_7PrfzmvamTcP8Pv,1,2,3,2,4,5,5,5,2,3,3,3,3,3,3,3,3,5,2,2,4,-2,2,3,2,3,2,2,3,1,1,1,2,2,1,1,1,2,2,NA,33,NA,Medicine (Family Medicine),email from Brazilian Society of Family Physicians,Moderately familiar,Not sure,No,"Assistant Professor, or equivalent",Other,Brazil,South America,0.759,high,Family Medicine,Medical Specialties,Medicine and Health Sciences,Medicine and Health Sciences,Assist Prof
3/26/19 18:47,3/26/19 19:00,100,R_1IK0bR0ak19Hjxv,1,2,5,5,5,5,5,5,3,4,4,3,3,4,4,4,4,3,5,5,5,-2,2,3,2,-2,3,3,3,-1,3,0,2,0,2,-2,-2,3,2,NA,52,NA,Family Medicine,e-mail from our Scientific Publication (Brazilian Journal of Family and Community Medicine),Moderately familiar,"Yes, a few times","Yes, a few times","Professor, or equivalent",Other,Brazil,South America,0.759,high,Family Medicine,Medical Specialties,Medicine and Health Sciences,Medicine and Health Sciences,Full Prof
3/26/19 19:01,3/26/19 19:14,100,R_2YmFgtdleYUvgcM,1,0,4,4,4,3,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,4,4,4,1,3,3,3,2,3,3,3,3,3,0,3,3,2,-1,0,0,2,NA,NA,NA,NA,NA,Very familiar,No,"Yes, a few times",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/26/19 19:18,3/26/19 19:26,100,R_t0eRRPY2SR6DCYV,1,3,3,2,1,5,3,5,1,1,3,1,4,3,5,5,5,5,4,5,5,0,0,0,3,1,2,2,3,0,0,2,2,0,0,-3,-3,0,2,NA,NA,NA,NA,NA,Extremely familiar,"Yes, a few times","Yes, many times","Research Scientist/Staff Scientist, or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/26/19 19:32,3/26/19 19:37,100,R_6mxbdg1Cre6fBER,1,1,5,2,3,3,4,2,4,3,3,2,3,4,3,3,4,4,2,4,3,1,2,2,2,0,0,0,1,0,2,2,2,2,1,-1,0,-1,2,NA,42,Sport and exercise psychology,NA,Twitter,Moderately familiar,No,"Yes, once","Associate Professor, or equivalent",Kinesiology,United States of America,North America,0.924,very high,Psychology of Movement,Kinesiology,Life Sciences,Life Sciences (Biology),Assoc Prof
3/26/19 19:32,3/26/19 19:37,100,R_3LjwpTvdHWG0lbt,1,3,2,3,4,5,5,4,5,3,3,2,3,2,5,5,5,5,5,4,4,1,2,3,0,0,1,3,3,0,3,1,1,3,3,-1,0,0,3,NA,26,Applied cognitive/social psychology,NA,Twitter,Very familiar,"Yes, many times","Yes, a few times",Graduate Student,Psychology,Australia,Oceania,0.9390000000000001,very high,NA,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 19:45,3/26/19 19:54,100,R_XzFHXWsHDTMrZRf,1,3,2,1,2,4,3,1,3,4,5,4,4,3,3,4,4,1,5,3,3,-2,1,3,0,0,3,3,3,0,0,1,3,3,2,3,-2,-2,3,NA,26,Cognitive psychology/ neuroscience with heavy computational modelling,NA,Twitter,Very familiar,"Yes, a few times","Yes, many times",Graduate Student,Psychology,United Kingdom of Great Britain and Northern Ireland,Europe,0.922,very high,Cognitive Psychology,Psychology,Social and Behavioral Sciences,Psychology,Grad Student
3/26/19 19:25,3/26/19 19:59,100,R_248XwlDuyRDDH93,1,2,1,3,2,5,2,5,3,2,2,1,2,1,4,4,4,5,4,5,5,2,1,3,3,0,2,2,2,0,2,1,3,1,2,-1,-2,1,2,NA,31,NA,Health Sciences,Twitter,Very familiar,"Yes, once",No,Graduate Student,Other,Australia,Oceania,0.9390000000000001,very high,NA,NA,Medicine and Health Sciences,Medicine and Health Sciences,Grad Student
3/26/19 19:49,3/26/19 19:59,100,R_2XgpasFSHyTeylO,1,3,2,2,3,5,3,3,3,2,3,4,4,2,4,4,3,4,3,3,4,3,2,3,1,3,3,3,2,0,3,1,2,3,2,0,-1,1,2,NA,39,Information science,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times",Post doc,Library/Information Science,Austria,Europe,0.908,very high,NA,Library and Information Science,Social and Behavioral Sciences,Other Social Sciences,Post doc
3/26/19 19:59,3/26/19 20:09,100,R_3ENm4EbyoObDsqW,1,3,3,1,1,2,2,1,1,1,1,2,2,3,2,2,2,2,2,3,2,3,1,3,0,2,3,3,3,3,3,2,3,2,3,-3,-3,-3,3,NA,37,Cell biology,NA,Twitter,Extremely familiar,"Yes, a few times","Yes, many times","Assistant Professor, or equivalent",Biology,Canada,North America,0.926,very high,Cell Biology,Cell and Developmental Biology,Life Sciences,Life Sciences (Biology),Assist Prof
3/26/19 20:03,3/26/19 20:11,100,R_UmBpJnDAU6kL8Ot,1,0,1,1,3,5,2,4,1,1,1,4,4,1,5,5,5,5,2,3,3,2,3,3,0,1,2,3,2,1,2,2,3,3,3,0,-3,0,3,NA,45,NA,Neuroscience,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Professor, or equivalent",Other,United States of America,North America,0.924,very high,NA,Neuroscience and Neurobiology,Life Sciences,Life Sciences (Biology),Full Prof
3/26/19 20:23,3/26/19 20:31,100,R_2YlWBxVq8C4ldrJ,1,3,3,2,1,3,2,3,1,2,1,1,1,1,2,2,2,1,4,1,2,0,0,0,0,0,2,2,2,3,2,0,3,2,3,-2,0,0,2,NA,40-50,Neuroscience,NA,Twitter,Extremely familiar,"Yes, a few times","Yes, many times","Assistant Professor, or equivalent",Biology,United States of America,North America,0.924,very high,NA,Neuroscience and Neurobiology,Life Sciences,Life Sciences (Biology),Assist Prof
3/26/19 21:43,3/26/19 21:49,100,R_3k4xZMKoUgKfkei,1,2,1,1,1,5,5,5,2,3,3,1,3,1,5,5,5,5,5,5,5,3,3,3,0,3,3,3,3,3,3,-2,3,2,3,-3,2,-1,3,NA,60,cognitive psychology,NA,Twitter,Extremely familiar,"Yes, many times","Yes, many times","Professor, or equivalent",Psychology,United States of America,North America,0.924,very high,Cognitive Psychology,Psychology,Social and Behavioral Sciences,Psychology,Full Prof
